Grid_ID,Latitude,Longitude
7757_1294,12.9418,77.5716
7758_1294,12.9688,77.5778
7759_1291,12.9688,77.5778
1332_7717,12.9389,77.5555
1230_7753,12.7209,77.2815
1257_7748,12.9417,77.5713
1283_7756,12.925,77.5938
1033_7799,12.9128,77.5385
1209_7756,12.9138,77.5385
1209_7799,12.9555,77.5385
1211_7755,12.9968,77.5385
1223_7715,12.9968,77.5718
1227_7709,13.0018,77.5518
1237_7745,12.9555,77.5966
1256_7753,12.9908,77.5388
1256_7754,12.9941,77.5352
1282_7779,12.9875,77.5352
1292_7769,12.9934,77.5348
1295_7754,12.9902,77.5284
1298_7753,12.9941,77.5311
1298_7754,12.9941,77.5352
1299_7735,12.997279,77.354748
1299_7752,12.9921,77.5289
1299_7753,12.9881,77.5359
1299_7754,12.9959,77.5381
1299_7755,12.9915,77.5411
1299_7783,12.9941,77.5312
1300_7732,13.00139743,77.32268143
1326_7646,13.261995,76.461326
1506_7533,12.9934,77.5348
7663_1232,12.9716,77.5946
7752_1299,12.9084,77.5267
7753_1298,12.9867,77.5068
7753_1299,12.9867,77.5068
7754_1298,12.9867,77.5068
7754_1299,13.0188,77.5645
7756_1209,12.9084,77.5267
7756_1309,12.9084,77.5267
1222_7712,12.8786,77.6206
1245_7737,12.8895,77.6388
1265_7745,12.9898,77.5168
1278_7750,12.9716,77.5946
1278_7762,12.8878,77.6208
1287_7737,12.8878,77.6208
1287_7763,12.8798,77.6178
1288_7737,12.8858,77.6108
1288_7738,12.8895,77.6388
1288_7763,12.9898,77.5168
1722_7722,12.8918,77.5962
1241_7719,12.9139,77.6815
1287_7770,12.8688,77.6448
1288_7769,12.8686,77.6443
1289_7766,12.9246,77.6622
1289_7768,12.9079,77.6831
1289_7769,12.9075,77.6829
1290_7766,12.9148,77.6618
1290_7767,12.9188,77.6838
1290_7768,12.8688,77.6448
1291_7766,12.9138,77.6728
1291_7767,12.9238,77.6618
1291_7768,12.9135,77.6735
1291_7769,12.9022,77.6784
1292_7766,12.924,77.6624
1292_7767,12.9148,77.6618
1292_7768,12.9258,77.6671
