Grid_ID,Latitude,Longitude
1265_7735,12.658731,77.35321185
1265_7736,12.65718157,77.3624791
1265_7738,12.658711,77.3817912
1265_7745,12.659835,77.452189
1265_7747,12.654828,77.473979
1265_7751,12.65748,77.5126971
1265_7753,12.6596,77.5326
1265_7755,12.65608,77.55659750000001
1265_7756,12.656626423333334,77.5672049
1265_7758,12.6587179,77.58711571
1265_7759,12.658717,77.597145
1265_7763,12.652136,77.636955
1265_7765,12.655786890909091,77.6556085690909
1265_7768,12.657189,77.68175794
1265_7795,12.65656,77.9569
1266_7756,12.66716,77.566684
1266_7758,12.66355,77.58797849999999
1266_7759,12.66716,77.590565
1266_7765,12.6653705,77.6544825
1266_7778,12.660601,77.784562
1266_7793,12.66566,77.9326
1266_7794,12.665655,77.948651
1267_7658,12.67709,76.588562
1267_7702,12.678902,77.021552
1267_7725,12.67858,77.252507
1268_6808,12.68552,68.088342
1268_7708,12.685956000000001,77.088342
1268_7747,12.68552,77.47144
1268_7756,12.68552,77.56653
1268_7757,12.68538,77.572703
1268_7761,12.685196333333332,77.61288566666667
1268_7762,12.685467500000001,77.62471500000001
1268_7765,12.688289666666668,77.65631336666667
1268_7770,12.681619,77.70162
1269_7712,12.698745,77.125984
1269_7715,12.698571,77.1548971
1269_7736,12.698,77.368
1269_7752,12.695845,77.525142
1269_7763,12.694091499999999,77.6349015
1269_7781,12.694548,77.812492
1270_7726,12.7031,77.2661
1270_7754,12.70973,77.54862
